524.13,1678.4,181.6,1653.1,190.63,50.677,104.87,156.5,83.885,26.906,2366.7,355.4,1995.5,44.402,70.045,82.207,9470.4,571.03,755.72,523.53,68.666,106.39,470.44,291.48,91.493,83.073,125.41,180.15,76.44,62.503,232.44,1
118.07,518.5,125.31,234.92,70.481,49.537,51.55,75.401,46.354,13.651,157.03,69.919,171.37,51.061,31.029,17.792,688.38,109.33,82.107,63.94,16.744,58.286,35.323,29.364,22.691,20.32,50.516,26.389,23.395,28.646,26.378,1
1793.6,2822.8,694.02,1543,152.51,149.44,70.878,85.913,82.131,36.596,1640.2,217.57,1647.7,132.32,29.249,63.98,7279.4,552.08,463.57,378.24,59.79,137.31,340.67,229.44,123.23,125.36,158.23,196.78,112.11,119.64,229.05,1
7.9281,7.388,6.6219,6.276,1.4333,1.452,1.9581,6.1496,3.151,0.49419,1.2932,3.0517,10.212,5.0784,1.4671,1.2672,4.5343,12.844,2.456,2.1128,1.4221,4.0277,2.5515,2.3439,2.2756,2.1705,4.0931,2.3287,2.3395,2.8609,2.3715,1
18.318,16.839,14.691,7.8334,1.8566,1.8737,2.1008,7.6007,3.6562,0.5566,0.97098,2.9587,12.847,6.4657,1.0638,1.1565,3.4221,12.136,3.0869,1.1109,1.4521,3.3697,3.4516,3.1491,2.8413,2.7179,3.5625,2.9313,3.0196,3.665,2.9388,1
75.066,58.383,51.582,8.2277,4.3609,4.3434,3.8862,13.069,3.8449,0.80925,1.0016,4.0962,14.908,7.8148,1.3042,1.7653,4.3232,15.909,2.943,1.0681,2.1523,4.9537,4.4457,3.7482,3.885,3.8521,5.3898,3.9149,4.0713,4.9325,4.1449,2
7.2529,6.916,7.1014,5.2803,1.825,1.8757,2.3883,5.7404,3.0466,0.56774,1.2674,3.3082,11.31,5.5517,1.476,1.5235,4.3861,15.121,3.1094,1.7175,1.7178,4.3199,3.4002,3.1028,3.0134,2.8247,4.4398,3.0809,3.1326,3.7722,3.0686,2
12.383,12.53,9.8422,4.7711,1.8383,1.8413,2.12,5.7437,2.8266,0.54936,0.88185,2.9526,13.064,5.88,1.2447,1.4018,3.1375,15.154,2.8862,1.2213,1.6034,3.6774,3.5815,3.1708,3.0686,2.8719,3.822,3.1386,3.2029,3.9498,3.1304,2
31.97,25.825,22.595,7.2097,3.3325,3.3284,3.0861,8.7472,4.9187,0.84179,1.0934,4.0893,17.826,9.2734,1.8895,2.073,4.84,18.419,5.0173,1.7379,2.256,5.3626,6.4015,5.5138,4.7415,4.4206,5.8358,4.8609,4.9906,6.1773,4.9313,2
18.412,18.73,17.973,17.102,7.4066,7.4354,8.0788,16.755,12.429,2.0748,3.1333,11.029,27.247,16.406,4.7715,4.6063,11.567,29.935,8.9072,2.8366,3.8102,9.6299,9.6102,8.897,7.5274,6.9906,10.016,7.7594,7.9185,9.8305,7.7512,2
16.53,16.963,16.464,13.591,6.5621,6.5372,7.6845,14.008,10.929,1.8574,3.1368,9.7056,21.908,12.13,4.8973,5.3411,9.8541,28.305,7.2755,2.9978,2.9533,8.4217,7.8877,7.2039,6.2206,5.6973,8.8888,6.286,6.5111,7.9987,6.2882,3
23.451,23.36,21.691,18.861,8.4954,8.4416,7.8907,17.11,15.025,2.5252,2.7675,10.889,30.581,18.537,4.808,5.9743,12.432,31.227,10.752,3.8483,6.2825,16.567,15.483,13.463,13.459,12.731,18.701,13.822,14.184,17.704,13.98,3
3.8852,2.9138,7.8508,15.178,1.1761,1.1759,1.6835,5.7515,14.602,0.45299,0.66806,2.1957,8.7593,4.9698,1.2027,0.88671,2.1715,7.484,2.2893,0.77375,1.1077,2.213,3.327,2.5772,2.189,1.9807,2.2952,2.2496,2.305,2.7826,2.1861,3
